keyword,monthly_volume,cpc_usd,competition,intent,cluster,priority,target_page,notes
fence financing bad credit,390,11.80,medium,commercial,financing,P2,financing-page,
0 down fence installation,40,14.20,low,commercial,financing,P1,financing-page,"EXACT MATCH al USP."
fence payment plans,210,10.40,medium,commercial,financing,P2,financing-page,
synchrony fence financing,50,11.20,low,commercial,financing,P3,financing-page,"Menciona partner."
hearth fence financing,40,10.80,low,commercial,financing,P3,financing-page,
emergency fence repair,110,13.20,medium,transactional,service,P3,page-repair,"NOTA: cliente no hace repairs. Pero puede capturar para convertir a instalacion nueva."
same day fence estimate ocala,20,15.80,low,transactional,service,P2,homepage,"USP del cliente — se captura."
free fence estimate ocala,60,14.60,medium,transactional,service,P1,homepage+cta,"CTA principal."
free fence quote ocala,40,14.20,low,transactional,service,P2,homepage,
spanish fence contractor ocala,20,12.80,low,transactional,hispanic,P1,homepage,"USP — cliente habla espanol."
contratista de cercas ocala,30,10.40,low,transactional,hispanic,P1,homepage-es,"Sub-landing en espanol."
instalacion de cercas ocala,20,9.80,low,transactional,hispanic,P2,homepage-es,
cercas de vinil ocala,20,9.20,low,transactional,hispanic,P2,service-page-vinyl-es,
fence company belleview fl,30,11.40,low,transactional,nearby-city,P3,location-page,"Belleview — 10 min sur de Ocala."
fence company silver springs fl,20,10.80,low,transactional,nearby-city,P3,location-page,"Silver Springs — 10 min este."
fence company summerfield fl,20,11.20,low,transactional,nearby-city,P3,location-page,"Summerfield — dentro del radio sur."
fence contractor the villages fl,90,13.80,medium,transactional,nearby-city,P1,location-page,"The Villages — mercado grande sur."
fence installation the villages,70,14.20,medium,transactional,nearby-city,P2,location-page,
fence contractor gainesville fl,140,12.40,medium,transactional,nearby-city,P3,location-page,"Gainesville — al norte, fuera del radio."
durafence installation,50,12.80,low,transactional,product-niche,P2,service-page-durafence,"Producto de nicho — poca competencia SEO."
durafence ocala,20,11.40,low,transactional,product-niche,P1,service-page-durafence,"Landing propia — oportunidad."
composite fence florida,210,8.60,medium,informational,blog,P3,blog,"Adjacente a Durafence."
wood fence ocala,110,10.40,medium,transactional,product,P3,,"NEGATIVE para ads — cliente no promociona wood."
chain link fence ocala,90,9.80,medium,transactional,product,P3,,"NEGATIVE para ads."
fence repair ocala,170,11.20,medium,transactional,service,P3,,"NEGATIVE para ads — cliente solo new install."
diy fence installation,880,3.20,low,informational,,P3,,"NEGATIVE — usuario no quiere contratista."
fence jobs ocala,90,0.80,low,informational,,P3,,"NEGATIVE — busqueda de empleo."
used fence panels ocala,40,2.40,low,informational,,P3,,"NEGATIVE."
fence rental ocala,20,3.80,low,informational,,P3,,"NEGATIVE — rental no venta."
